fecha,banco,indice_ev_individual,indice_ev_grupal,indice_cartera_normal,indice_cartera_subestandar,indice_cartera_incumplimiento
2016-03-01,Deutsche Bank (Chile),,,,,
2016-03-01,Fuente: Superintendencia de Bancos e Instituciones Financieras (Chile),,,,,
2016-03-01,HSBC Bank (Chile),,99.92579804728094,0.07420195271906244,2.7131448481439455,10.055363748620875
2016-03-01,"JP Morgan Chase Bank, N.A.",,,,,
2016-03-01,Rabobank Chile,,100.0,0.0,0.5646176460601773,2.365916844082482
2016-03-01,Scotiabank Chile,,49.54678682641967,50.45321317358034,0.9611609134071182,22.907134415770624
2016-03-01,"The Bank of Tokyo-Mitsubishi UFJ, Ltd.",,100.0,0.0,2.4482500128949947,
2016-04-01,Banco BTG Pactual Chile,,100.0,0.0,0.3395174725398301,
2016-04-01,Banco Bice,,75.66711410266765,24.33288589733234,0.6737524158073758,6.720312388080746
2016-04-01,"Banco Bilbao Vizcaya Argentaria, Chile",,44.08846200097639,55.91153799902361,0.8208899208419225,8.903374860489595
2016-04-01,Banco Consorcio,,90.86167447190407,9.138325528095935,0.7813395068807745,11.043709502725521
2016-04-01,Banco Falabella,,1.7052617688891344e-05,99.99998294738232,3.3720783032309556,
2016-04-01,Banco Internacional,,95.92289448519055,4.077105514809442,1.317180008347405,3.05955612019648
2016-04-01,Banco Paris,,0.0,100.0,0.2088202853948561,
2016-04-01,Banco Penta,,100.0,0.0,1.8662096749279962,0.0
2016-04-01,Banco Ripley,,0.0,100.0,3.4617747132713386,
2016-04-01,Banco Santander-Chile,,42.154774333702875,57.84522566629712,1.0929823222841615,8.48654876147351
2016-04-01,Banco Security,,72.05671960775781,27.943280392242187,0.6847787925323129,1.3426709324094297
2016-04-01,Banco de Chile,,50.46495509017064,49.53504490982936,1.1886932814854425,13.488337937553869
2016-04-01,Banco de Crédito e Inversiones,,49.353033525488684,50.64696647451132,0.5025826079016348,7.33991478591129
2016-04-01,Banco de la Nación Argentina,,99.39854834108075,0.6014516589192468,0.5313249177076789,
