fecha,banco,indice_total,indice_comercial,indice_consumo,indice_vivienda
2016-01-01,Banco BTG Pactual Chile,,0.4273169933683713,0.4273169933683713,0.4273169933683713
2016-01-01,Banco Bice,,1.2528921346450337,1.2528921346450337,1.4276034275834038
2016-01-01,"Banco Bilbao Vizcaya Argentaria, Chile",,1.5198192015197884,1.5219702568751734,1.2187240151118837
2016-01-01,Banco Consorcio,,1.6268523844204796,1.6268523844204796,1.5185912022425914
2016-01-01,Banco Falabella,,4.563470604319214,4.563470604319214,2.9167600777071163
2016-01-01,Banco Internacional,,3.1413528242314666,3.1413528242314666,3.113624787234288
2016-01-01,Banco Itaú Chile,,1.6770222373446366,1.6903546322153389,1.581480568660095
2016-01-01,Banco Paris,,1.5510752886204036,1.5510752886204036,
2016-01-01,Banco Penta,,0.2817630751209365,0.2817630751209365,0.2817630751209365
2016-01-01,Banco Ripley,,6.899461177476943,6.899461177476943,4.35218280167937
2016-01-01,Banco Santander-Chile,,3.089167092614412,3.089843922282904,3.3641051065949945
2016-01-01,Banco Security,,1.884248847704952,1.8844933361565182,2.021072062245235
2016-01-01,Banco de Chile,,2.40645803450606,2.43671101081857,2.5127724764118673
2016-01-01,Banco de Crédito e Inversiones,,2.13184390176294,2.1466880394032355,2.1681754961691158
2016-01-01,Banco de la Nación Argentina,,1.9833457137975228,3.066809577001851,3.090196514223673
2016-01-01,Banco del Estado de Chile,,3.162083124234336,3.1800622323186944,2.8764305289565186
2016-01-01,Banco do Brasil S.A.,,7.600635467778432,7.883534078716417,7.883534078716417
2016-01-01,Corpbanca,,1.3438698544938268,1.3438698544938268,1.322576563496591
2016-01-01,Deutsche Bank (Chile),,,,
2016-01-01,HSBC Bank (Chile),,4.224237402942973,4.302072517992619,4.305065634558424
2016-01-01,"JP Morgan Chase Bank, N.A.",,,,
2016-01-01,Rabobank Chile,,4.000911139926556,4.000911139926556,4.000911139926556
2016-01-01,Scotiabank Chile,,2.0395166349242424,2.0749228868414002,2.3058408642989145
2016-01-01,"The Bank of Tokyo-Mitsubishi UFJ, Ltd.",,3.1099906756280653,3.1099906756280653,3.1099906756280653
2016-02-01,Banco BTG Pactual Chile,,0.3310817931790046,0.3310817931790046,0.3310817931790046
2016-02-01,Banco Bice,,1.2399074177160836,1.2405344305489874,1.4152189764474177
2016-02-01,"Banco Bilbao Vizcaya Argentaria, Chile",,1.5370324926080736,1.5377457752754593,1.2439698207589904
2016-02-01,Banco Consorcio,,1.5953229256002386,1.604624730632491,1.497704667019749
2016-02-01,Banco Falabella,,4.632226000056536,4.632226000056536,2.860581765307522
2016-02-01,Banco Internacional,,3.162220802179303,3.162220802179303,3.138577158672003
2016-02-01,Banco Itaú Chile,,1.6289706419909986,1.6570097084339808,1.5368543975522577
2016-02-01,Banco Paris,,1.4969671824793782,1.4969671824793782,
2016-02-01,Banco Penta,,0.09746129640323589,0.09746129640323589,0.09746129640323589
2016-02-01,Banco Ripley,,6.8919188866379075,6.8919188866379075,4.773543143617607
2016-02-01,Banco Santander-Chile,,3.0731046398541966,3.0747774545778266,3.33540916700361
2016-02-01,Banco Security,,1.8845360324776956,1.8847812138406626,2.019497840042556
2016-02-01,Banco de Chile,,2.3919061958119414,2.441763282315622,2.5043897423776644
2016-02-01,Banco de Crédito e Inversiones,,2.1257442779156257,2.1371366045578792,2.1519679164883114
2016-02-01,Banco de la Nación Argentina,,2.5052640220731375,3.1537678972200105,3.1800449364175565
2016-02-01,Banco del Estado de Chile,,3.18906982017085,3.199145943081868,2.8850892176098957
2016-02-01,Banco do Brasil S.A.,,7.239081033796177,7.9153369378246765,7.9153369378246765
2016-02-01,Corpbanca,,1.3702779871524529,1.3702779871524529,1.3518137120350038
2016-02-01,Deutsche Bank (Chile),,,,
2016-02-01,HSBC Bank (Chile),,4.439262466209866,4.434870879646046,4.437975393752128
2016-02-01,"JP Morgan Chase Bank, N.A.",,,,
2016-02-01,Rabobank Chile,,3.796373877705259,3.796373877705259,3.796373877705259
2016-02-01,Scotiabank Chile,,2.0452871030142616,2.071746995749286,2.3152987130280724
2016-02-01,"The Bank of Tokyo-Mitsubishi UFJ, Ltd.",,1.4130585119685546,2.28965266409293,2.28965266409293
2016-03-01,Banco BTG Pactual Chile,,0.3233060121746752,0.3233060121746752,0.3233060121746752
2016-03-01,Banco Bice,,1.2326447325323484,1.233252076978403,1.4143485321011382
2016-03-01,"Banco Bilbao Vizcaya Argentaria, Chile",,1.562007356815724,1.5678043461688866,1.2888145408151708
2016-03-01,Banco Consorcio,,1.565648912507787,1.5701661202368595,1.4623644083698648
2016-03-01,Banco Falabella,,4.680470668228785,4.680470668228785,2.9280681388714718
2016-03-01,Banco Internacional,,3.0916319365156575,3.0916319365156575,3.0727377460885252
2016-03-01,Banco Itaú Chile,,1.6012370081037237,1.6110879908016251,1.4931965008713057
2016-03-01,Banco Paris,,1.5405210011466681,1.5405210011466681,
2016-03-01,Banco Penta,,0.08622133188711788,0.08622133188711788,0.08622133188711788
2016-03-01,Banco Ripley,,6.836081227742935,6.836081227742935,4.558014992950028
2016-03-01,Banco Santander-Chile,,3.042088586475098,3.0457536459060353,3.318094404946797
2016-03-01,Banco Security,,1.8541693755839783,1.8541878595929489,1.9679218793536775
2016-03-01,Banco de Chile,,2.427643986268174,2.455724037885458,2.5165137960517727
2016-03-01,Banco de Crédito e Inversiones,,2.0601349160172844,2.0742011310474395,2.068545563815535
2016-03-01,Banco de la Nación Argentina,,2.363076528797847,3.012383187407117,3.03588040357575
2016-03-01,Banco del Estado de Chile,,3.16794014955071,3.187696034971953,2.900084575494842
2016-03-01,Banco do Brasil S.A.,,7.7821194338325155,8.172690747719356,8.172690747719356
2016-03-01,Corpbanca,,1.4391862118398067,1.4391862118398067,1.4467155319569618
2016-03-01,Deutsche Bank (Chile),,,,
2016-03-01,HSBC Bank (Chile),,4.586377023917362,4.639436895611786,4.6426217124227005
2016-03-01,"JP Morgan Chase Bank, N.A.",,,,
2016-03-01,Rabobank Chile,,3.4739080471931034,3.4739080471931034,3.4739080471931034
2016-03-01,Scotiabank Chile,,2.0714425090687105,2.095952905458346,2.3689153598786437
